Trichodesmium metaproteomics samples,,,,,
Tube ID,Tube Label,Label in Scaffold,Cruise,Ocean,Basin
1,St 2 metaT 5/10/14 #2 in situ,AE1409_Atlantic_N_St2_05/10/14,AE1409,Atlantic,N
2,St 10 metaT 5/18/14 #1 in situ,AE1409_Atlantic_N_St10_05/18/14,AE1409,Atlantic,N
3,St 16 metaT 5/24/14 in situ,AE1409_Atlantic_N_St16_05/24/14,AE1409,Atlantic,N
4,St 9 metaT in situ,AE1409_Atlantic_N_St9,AE1409,Atlantic,N
5,St 17 metaT in situ,AE1409_Atlantic_N_St17,AE1409,Atlantic,N
6,St 5 metaT in situ,OC471_Atlantic_N_St5,OC471,Atlantic,N
7,5/1/11 St 5 Protein sfc moc mix,OC471_Atlantic_N_St5_05/01/11,OC471,Atlantic,N
8,5/6/11 St 10 Protein sfc moc mix,OC471_Atlantic_N_St10_05/06/11,OC471,Atlantic,N
9,5/3/11 St 7 Protein sfc moc mix,OC471_Atlantic_N_St7_05/03/11,OC471,Atlantic,N
10,4/30/11 St 4 Protein sfc moc mix,OC471_Atlantic_N_St4_04/30/11,OC471,Atlantic,N
11,5/9/11 St 13 Protein sfc moc mix,OC471_Atlantic_N_St13_05/09/11,OC471,Atlantic,N
12,5/5/11 St 9 Protein sfc moc mix,OC471_Atlantic_N_St9_05/05/11,OC471,Atlantic,N
13,5/2/11 St 6 Protein sfc moc mix,OC471_Atlantic_N_St6_05/02/11,OC471,Atlantic,N
14,5/11/11 St 15 Protein sfc moc mix,OC471_Atlantic_N_St15_05/11/11,OC471,Atlantic,N
15,9/22/13 DNA raft & bowtie,PhoR2_Pacific_N_09/22/13,PhoR2,Pacific,N
16,9/24/13 DNA mix,PhoR2_Pacific_N_09/24/13,PhoR2,Pacific,N
17,9/25/13 DNA mix,PhoR2_Pacific_N_09/25/13,PhoR2,Pacific,N
18,Tricho transcr. Filt. #1 8/11/12 RNA 2 pm,HD_Pacific_N_08/11/12,HD,Pacific,N
19,Tricho transcr.  Filt. #1 8/26/12,HD_Pacific_N_08/26/12,HD,Pacific,N
20,Tricho RNA 9/4/12,HD_Pacific_N_09/04/12,HD,Pacific,N
21,Tricho RNA Filt. #1 8/28/12,HD_Pacific_N_08/28/12,HD,Pacific,N
22,Tricho transcr. Filt. #2 8/29/12,HD_Pacific_N_08/29/12,HD,Pacific,N
23,Tricho RNA #1 8/24/12,HD_Pacific_N_08/24/12,HD,Pacific,N
24,LD2 St 4 metatranscriptome IS 3/18/15,Outpace_Pacific_S_St4_03/18/15,Outpace,Pacific,S
25,LD2 St 2 metatranscriptome IS 3/16/15,Outpace_Pacific_S_St2_03/16/15,Outpace,Pacific,S
26,LD2 St 3 metatranscriptome IS 3/17/15,Outpace_Pacific_S_St3_03/17/15,Outpace,Pacific,S
