Cruise:METAVAR:TEXT:20,Station:METAVAR:TEXT:20,yyyy-mm-dd hh:mm,Latitude [degrees_north]:METAVAR:DOUBLE,Longitude [degrees_east]:METAVAR:DOUBLE,Pressure [dbar]:DOUBLE,Bottle,Sal11,Potemp190C,Sigma-é11,Sbeox0Mm/Kg,T190C,C1mS/cm,Sbeox0V,DFe nM,SD DFe nM
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,4.566,23,35.071,29.9393,21.8002,189.237,29.9404,58.400064,2.6155,0.71,0.43
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,4.798,23,35.2071,29.5669,22.0288,182.09,29.5681,58.201369,2.526,0.39,0.001
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,5.424,21,35.0078,29.3215,21.9621,181.981,29.3228,57.647645,2.5134,0.46,0.02
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,5.848,21,35.0619,29.1473,22.0612,181.887,29.1487,57.540991,2.508,0.308,0.021
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,9.81,21,35.1657,28.9045,22.2204,194.421,28.9069,57.435246,2.6382,0.36,0.001
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,9.914,22,35.0712,29.9412,21.7996,189.114,29.9437,58.406121,2.6137,0.59,0.0089
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,9.935,21,34.8741,28.947,21.9873,193.774,28.9493,57.057651,2.6286,0.38,0.007
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,10.258,21,35.0384,29.1182,22.0534,190.592,29.1207,57.478799,2.6003,0.44,0.001
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,10.435,21,35.0332,29.381,21.9611,190.349,29.3835,57.751539,2.6079,0.21,0.002
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,10.465,21,35.3589,29.3201,22.2261,189.841,29.3227,58.16206,2.6039,0.38,0.001
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,10.619,21,35.3325,28.9477,22.3312,190.218,28.9502,57.723621,2.5957,0.22,0.01
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,10.623,20,35.2446,29.2202,22.1739,181.654,29.2228,57.888321,2.5091,0.307,0.021
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,10.688,21,35.3441,28.1746,22.5962,192.681,28.1771,56.912048,2.5967,0.69,0.058
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,10.859,21,35.0776,28.7057,22.2204,196.557,28.7083,57.096449,2.6524,0.67,0.001
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,10.902,21,35.2123,29.5563,22.0362,188.535,29.559,58.201737,2.5949,0.97,0.1
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,11.094,21,35.4403,28.7991,22.4618,191.556,28.8018,57.720239,2.6088,1.16,0.016
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,11.094,22,35.2059,29.5374,22.0379,181.715,29.5402,58.172326,2.5199,0.35,0.005
