Cruise:METAVAR:TEXT:20,Station:METAVAR:TEXT:20,yyyy-mm-dd hh:mm,Latitude [degrees_north]:METAVAR:DOUBLE,Longitude [degrees_east]:METAVAR:DOUBLE,Pressure [dbar]:DOUBLE,Bottle,Sal11,Potemp190C,Sigma-é11,Sbeox0Mm/Kg,T190C,C1mS/cm,Sbeox0V,DIP
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,199.73,10,35.6446,20.0547,25.239,174.84,20.0919,48.886171,2.1239,212
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,149.665,11,35.6967,21.1762,24.9762,181.27,21.2052,50.082599,2.2283,149
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,88.724,15,35.6679,22.8871,24.4728,188.206,22.9052,51.796457,2.3627,113
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,79.543,17,35.6408,23.3685,24.3127,196.811,23.3849,52.26157,2.47,53
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,50.037,19,35.4603,25.6651,23.4848,206.015,25.6762,54.427871,2.6452,35
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,30.028,20,35.0958,28.1625,22.4135,198.817,28.1696,56.557452,2.6539,9
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,10.859,21,35.0776,28.7057,22.2204,196.557,28.7083,57.096449,2.6524,11
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,198.25,10,35.7141,20.7399,25.1084,160.099,20.7777,49.68103,2.0059,265
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,150.317,11,35.6895,22.5665,24.5813,168.815,22.5969,51.527601,2.1495,178
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,98.435,13,35.6028,23.9728,24.1059,186.237,23.9936,52.861001,2.3738,61
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,69.23,17,35.5006,25.2626,23.6393,199.4,25.2777,54.068634,2.5559,70
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,49.161,19,35.3821,26.4728,23.1731,201.095,26.484,55.177119,2.6179,37
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,29.59,20,35.1981,27.8713,22.5856,198.573,27.8782,56.393074,2.6431,17
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,9.81,21,35.1657,28.9045,22.2204,194.421,28.9069,57.435246,2.6382,16
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,199.076,10,35.7103,21.3858,24.9288,161.558,21.4247,50.349746,2.0365,228
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,148.659,11,35.7201,23.171,24.4303,164.606,23.2017,52.201898,2.126,202
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,99.507,13,35.5616,24.5478,23.9027,183.044,24.5691,53.414199,2.3595,195
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,69.6,17,35.4241,25.6875,23.4505,196.33,25.7029,54.415179,2.5387,73
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,49.395,19,35.313,26.7436,23.0352,202.743,26.7549,55.368957,2.6442,53
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,29.855,20,34.9558,28.6301,22.154,195.727,28.6372,56.852957,2.6319,13
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,9.935,21,34.8741,28.947,21.9873,193.774,28.9493,57.057651,2.6286,8
