Date,Time,Cast #,Depth (m),Salinity (PSU),PAR,Pressure (db),Temperature (deg. C),Conductivity (mS/cm),Latitude (deg.),Longitude (deg.),Scan,Bottle,Flag,Station,Tricho APA,APA,TPP,TDP,DOP (calc),,
`,,,,,,,,,,,,,,,,,,,,,
"May 10th, 2014",10:15 AM,5,4.340102,36.694153,1352.026122,4.369184,24.043755,54.309345,27.871760,-64.989712,47857,23,0,2,99.900000,1.776,0.2508,0.065,0.065,,
"May 10th, 2014",10:15 AM,5,19.962041,36.692782,563.067551,20.096490,24.018345,54.287031,27.872020,-64.989120,43432,19,0,2,,1.392,0.2266,0.060,0.060,,
"May 10th, 2014",10:15 AM,5,39.101898,36.681388,317.856939,39.366714,23.853298,54.102120,27.872351,-64.988489,38800,14,0,2,,1.92,0.1741,0.124,0.124,,
"May 10th, 2014",10:15 AM,5,39.192796,36.680696,331.886939,39.458755,23.825159,54.070820,27.872320,-64.988569,39353,15,0,2,,1.728,0.2215,0.072,0.072,,
"May 10th, 2014",10:15 AM,5,60.086020,36.650086,176.857143,60.496469,23.461600,53.647765,27.872560,-64.987921,35129,11,0,2,,1.104,0.2184,0.059,0.059,,
"May 10th, 2014",10:15 AM,5,250.898347,36.588455,0.000000,252.729898,18.550273,48.439132,27.873160,-64.986,23688,3,0,2,,0.144,0.0991,0.186,0.061,,
"May 11th, 2014",10:02 AM,8,3.827265,36.392845,1298.674694,3.852143,26.050737,56.082136,25.52722,-64.943500,39240,23,0,3,,0.315168,0.2657,0.087,0.087,,
"May 11th, 2014",10:02 AM,8,20.178796,36.391759,495.352653,20.311143,26.049082,56.086073,25.527054,-64.944304,35218,19,0,3,,0.70608,0.2362,0.080,0.080,,
"May 11th, 2014",10:02 AM,8,40.161041,36.615743,287.263878,40.426612,25.143482,55.414324,25.526960,-64.945234,31593,15,0,3,,0.024096,0.2066,0.059,0.059,,
"May 11th, 2014",10:02 AM,8,58.985429,36.713192,108.762245,59.378082,24.309057,54.646401,25.526793,-64.945800,27939,11,0,3,,0.91632,0.2600,0.061,0.061,,
"May 11th, 2014",10:02 AM,8,145.292286,36.608178,2.197218,146.290020,20.840688,50.828884,25.526620,-64.946900,22043,7,0,3,,0.401808,0.3075,0.078,0.078,,
"May 11th, 2014",10:02 AM,8,251.244367,36.551824,0.000000,253.034980,18.514855,48.359104,25.526418,-64.947798,15287,3,0,3,,0.00912,0.0725,0.172,0.051,,
"May 12th, 2014",10:23 AM,10,5.233184,36.524249,773.352041,5.266245,26.099337,56.315178,23.02516,-65.010640,36730,23,0,4,,1.65552,0.3387,0.079,0.079,,
